#SampleID	Sample_Site	Lake	Sample_Method	Month_collected	Month_0	Replicate	Matrix	Sample_Blank	Collected_Date	Sample	qbit_conc_extraction	read_count	replicate_count	day_year	PC_R1	PC_R2	PC_R3	PE_R1	PE_R2	PE_R3	salinity
#q2:types	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
CHMK2w0714221	CHP2	Chilmark	<5	7	1	1	water	Sample	7/14/22	CHMK2w071422			2	372	13.86			1.54			
CHMK2w0714222	CHP2	Chilmark	<5	7	1	2	water	Sample	7/14/22	CHMK2w071422			1	372	13.86			1.54			
CHP2w062722WLW1	CHP2	Chilmark	WLW	6	0	1	water	Sample	6/27/22	CHP2w062722WLW	1.07		2	355	12.08			1.27			9.58
CHP2w062722WLW2	CHP2	Chilmark	WLW	7	1	2	water	Sample	6/27/22	CHP2w062722WLW	0.838		1	355	12.08			1.27			9.58
CHP2w0724221	CHP2	Chilmark	<5	7	1	1	water	Sample	7/24/22	CHP2w072422			1	382	13.86			1.54			8.59
CHP2w072422BFC1	CHP2	Chilmark	BFC	7	1	1	water	Sample	7/24/22	CHP2w072422BFC			1	382	17.91	7.79	10	2.37	1.76	1.16	8.59
CHP2w072422WLW1	CHP2	Chilmark	WLW	7	1	1	water	Sample	7/24/22	CHP2w072422WLW			2	382	10.73			1			8.59
CHP2w072422WLW2	CHP2	Chilmark	WLW	7	1	2	water	Sample	7/24/22	CHP2w072422WLW			1	382	10.73			1			8.59
CHP2w0801222	CHP2	Chilmark	<5	8	2		water	Sample	8/1/22	CHP2w080122	3.14	219667	1	390	14.96	16.44	21.22	0.05	0.15	0.15	8.53
CHP2w080122BFC1	CHP2	Chilmark	BFC	8	2		water	Sample	8/1/22	CHP2w080122BFC	0.996	196395	1	390	5.22	3.2	3.38	0.21	0.05	0.1	8.53
CHP2w080122WLW1	CHP2	Chilmark	WLW	8	2		water	Sample	8/1/22	CHP2w080122WLW	2.44	370226	1	390	14.96	18.46	15.7	0.05	0.15	0.21	8.53
CHP2w080122WLW2	CHP2	Chilmark	WLW	8	2		water	Sample	8/1/22	CHP2w080122WLW	1.74	217716	2	390	14.96	18.46	15.7	0.05	0.15	0.21	8.53
CHP2w0824221	CHP2	Chilmark	<5	8	2	1	water	Sample	8/24/22	CHP2w082422	1.8	305252	2	413	10.01	10.57	10.34	1.46	1.35	1.21	8
CHP2w0824222	CHP2	Chilmark	<5	8	2	2	water	Sample	8/24/22	CHP2w082422	1.29		1	413	10.01	10.57	10.34	1.46	1.35	1.21	8
CHP2w082422BFC1	CHP2	Chilmark	BFC	8	2	1	water	Sample	8/24/22	CHP2w082422BFC	0.708		1	413	16.45	16.69	14.99	2.59	2.3	2.54	8
CHP2w082422WLW1	CHP2	Chilmark	WLW	8	2	1	water	Sample	8/24/22	CHP2w082422WLW	1.02		2	413	13.41	13.98	14.74	1.86	1.92	2.03	8
CHP2w082422WLW2	CHP2	Chilmark	WLW	8	2	2	water	Sample	8/24/22	CHP2w082422WLW	0.532		1	413	13.41	13.98	14.74	1.86	1.92	2.03	8
CHP2w0909221	CHP2	Chilmark	<5	9	3	1	water	Sample	9/9/22	CHP2w090922	11	55838	1	429	27.46	33.45	33.16	1.81	1.81	1.97	
