#SampleID	original_id	nerr_name	site_name	labeled_to_remove	a-c_concat	date_letters_reps	date_only	site_corrected	sample_blank	NERR	NERR_SITE_TYPE_DATE	NERR_SITE_TYPE_DATE_REP	REP_FILTER	REP	FILTER	mm	dd	YY	YYYY	YYYY-MM-DD	excel_date	TYPE	BLANK_NUM	quarter	LANE	NERR_SITE	LAT	LONG	lane_lookup	lane	lookup
GBQ5_GBGBw0508231	GBGBw0508231	GB	GB	w	GBGBw	508231	50823	GB	sample	GB	GBGBw050823	GBGBw0508231	1	1		5	8	23	2023	5/8/23	5/8/23	w		5		GBGB	43.0722	-70.8694	GBQ5_GBGBw0508231	GBQ5	GBGBw0508231
GBQ5_GBGBw0508232	GBGBw0508232	GB	GB	w	GBGBw	508232	50823	GB	sample	GB	GBGBw050823	GBGBw0508232	2	2		5	8	23	2023	5/8/23	5/8/23	w		5		GBGB	43.0722	-70.8694	GBQ5_GBGBw0508232	GBQ5	GBGBw0508232
GBQ5_GBGBw0508233	GBGBw0508233	GB	GB	w	GBGBw	508233	50823	GB	sample	GB	GBGBw050823	GBGBw0508233	3	3		5	8	23	2023	5/8/23	5/8/23	w		5		GBGB	43.0722	-70.8694	GBQ5_GBGBw0508233	GBQ5	GBGBw0508233
GBQ5_GBLRw0508231	GBLRw0508231	GB	LR	w	GBLRw	508231	50823	LR	sample	GB	GBLRw050823	GBLRw0508231	1	1		5	8	23	2023	5/8/23	5/8/23	w		5		GBLR	43.08	-70.9344	GBQ5_GBLRw0508231	GBQ5	GBLRw0508231
GBQ5_GBLRw0508232	GBLRw0508232	GB	LR	w	GBLRw	508232	50823	LR	sample	GB	GBLRw050823	GBLRw0508232	2	2		5	8	23	2023	5/8/23	5/8/23	w		5		GBLR	43.08	-70.9344	GBQ5_GBLRw0508232	GBQ5	GBLRw0508232
GBQ5_GBLRw0508233	GBLRw0508233	GB	LR	w	GBLRw	508233	50823	LR	sample	GB	GBLRw050823	GBLRw0508233	3	3		5	8	23	2023	5/8/23	5/8/23	w		5		GBLR	43.08	-70.9344	GBQ5_GBLRw0508233	GBQ5	GBLRw0508233
GBQ5_GBORw0508231	GBORw0508231	GB	OR	w	GBORw	508231	50823	OR	sample	GB	GBORw050823	GBORw0508231	1	1		5	8	23	2023	5/8/23	5/8/23	w		5		GBOR	43.134	-70.911	GBQ5_GBORw0508231	GBQ5	GBORw0508231
GBQ5_GBORw0508232	GBORw0508232	GB	OR	w	GBORw	508232	50823	OR	sample	GB	GBORw050823	GBORw0508232	2	2		5	8	23	2023	5/8/23	5/8/23	w		5		GBOR	43.134	-70.911	GBQ5_GBORw0508232	GBQ5	GBORw0508232
GBQ5_GBORw0508233	GBORw0508233	GB	OR	w	GBORw	508233	50823	OR	sample	GB	GBORw050823	GBORw0508233	3	3		5	8	23	2023	5/8/23	5/8/23	w		5		GBOR	43.134	-70.911	GBQ5_GBORw0508233	GBQ5	GBORw0508233
GBQ5_GBSQw0508231	GBSQw0508231	GB	SQ	w	GBSQw	508231	50823	SQ	sample	GB	GBSQw050823	GBSQw0508231	1	1		5	8	23	2023	5/8/23	5/8/23	w		5		GBSQ	43.0524	-70.91181	GBQ5_GBSQw0508231	GBQ5	GBSQw0508231
GBQ5_GBSQw0508232	GBSQw0508232	GB	SQ	w	GBSQw	508232	50823	SQ	sample	GB	GBSQw050823	GBSQw0508232	2	2		5	8	23	2023	5/8/23	5/8/23	w		5		GBSQ	43.0524	-70.91181	GBQ5_GBSQw0508232	GBQ5	GBSQw0508232
GBQ5_GBSQw0508233	GBSQw0508233	GB	SQ	w	GBSQw	508233	50823	SQ	sample	GB	GBSQw050823	GBSQw0508233	3	3		5	8	23	2023	5/8/23	5/8/23	w		5		GBSQ	43.0524	-70.91181	GBQ5_GBSQw0508233	GBQ5	GBSQw0508233
HEWEQ5_WEHTw0518231	WEHTw0518231	WE	HT	w	WEHTw	518231	51823	HT	sample	WE	WEHTw051823	WEHTw0518231	1	1		5	18	23	2023	5/18/23	5/18/23	w		5		WEHT	43.298348	-70.587168	HEWEQ5_WEHTw0518231	SSQ5	SSWAtb052423
HEWEQ5_WEHTw0518232	WEHTw0518232	WE	HT	w	WEHTw	518232	51823	HT	sample	WE	WEHTw051823	WEHTw0518232	2	2		5	18	23	2023	5/18/23	5/18/23	w		5		WEHT	43.298348	-70.587168	HEWEQ5_WEHTw0518232	SSQ5	SSWAw0524231
HEWEQ5_WEHTw0518233	WEHTw0518233	WE	HT	w	WEHTw	518233	51823	HT	sample	WE	WEHTw051823	WEHTw0518233	3	3		5	18	23	2023	5/18/23	5/18/23	w		5		WEHT	43.298348	-70.587168	HEWEQ5_WEHTw0518233	SSQ5	SSWAw0524232
HEWEQ5_WEINw0518231	WEINw0518231	WE	IN	w	WEINw	518231	51823	IN	sample	WE	WEINw051823	WEINw0518231	1	1		5	18	23	2023	5/18/23	5/18/23	w		5		WEIN	43.320269	-70.563505	HEWEQ5_WEINw0518231	SSQ5	SSWStb052423
HEWEQ5_WEINw0518232	WEINw0518232	WE	IN	w	WEINw	518232	51823	IN	sample	WE	WEINw051823	WEINw0518232	2	2		5	18	23	2023	5/18/23	5/18/23	w		5		WEIN	43.320269	-70.563505	HEWEQ5_WEINw0518232	SSQ5	SSWSw0524231
HEWEQ5_WEINw0518233	WEINw0518233	WE	IN	w	WEINw	518233	51823	IN	sample	WE	WEINw051823	WEINw0518233	3	3		5	18	23	2023	5/18/23	5/18/23	w		5		WEIN	43.320269	-70.563505	HEWEQ5_WEINw0518233	SSQ5	SSWSw0524232
HEWEQ5_WELMw0518231	WELMw0518231	WE	LM	w	WELMw	518231	51823	LM	sample	WE	WELMw051823	WELMw0518231	1	1		5	18	23	2023	5/18/23	5/18/23	w		5		WELM	43.339101	-70.539829	HEWEQ5_WELMw0518231	NA	
HEWEQ5_WELMw0518232	WELMw0518232	WE	LM	w	WELMw	518232	51823	LM	sample	WE	WELMw051823	WELMw0518232	2	2		5	18	23	2023	5/18/23	5/18/23	w		5		WELM	43.339101	-70.539829	HEWEQ5_WELMw0518232	HEWEQ5	WEH2O061523
HEWEQ5_WELMw0518233	WELMw0518233	WE	LM	w	WELMw	518233	51823	LM	sample	WE	WELMw051823	WELMw0518233	3	3		5	18	23	2023	5/18/23	5/18/23	w		5		WELM	43.339101	-70.539829	HEWEQ5_WELMw0518233	HEWEQ5	WEHTtb051823
HEWEQ5_WESMw0518231	WESMw0518231	WE	SM	w	WESMw	518231	51823	SM	sample	WE	WESMw051823	WESMw0518231	1	1		5	18	23	2023	5/18/23	5/18/23	w		5		WESM	43.34471	-70.54922	HEWEQ5_WESMw0518231	HEWEQ5	WEHTw0518232
HEWEQ5_WESMw0518232	WESMw0518232	WE	SM	w	WESMw	518232	51823	SM	sample	WE	WESMw051823	WESMw0518232	2	2		5	18	23	2023	5/18/23	5/18/23	w		5		WESM	43.34471	-70.54922	HEWEQ5_WESMw0518232	HEWEQ5	WEHTw0518233
HEWEQ5_WESMw0518233	WESMw0518233	WE	SM	w	WESMw	518233	51823	SM	sample	WE	WESMw051823	WESMw0518233	3	3		5	18	23	2023	5/18/23	5/18/23	w		5		WESM	43.34471	-70.54922	HEWEQ5_WESMw0518233	HEWEQ5	WEINtb051823
